"","ID","이름","분류번호","대권역","수계","중권역","수질목표","주소","위도.DMS도.","위도.DMS분.","위도.DMS초.","경도.DMS도.","경도.DMS분.","경도.DMS초.","lat","long","RCH_ID","본.지류","하천.호소","수량","총량","자동","퇴적물","방사성","예보","주요","중권역.1","보대","조사기관","TN","x","y","type"
"무심천1","무심천1","","3011A55","금강","금강","미호천","","충청북도 청주시 상당구 영운동(영운동취수장)",36,36,55.7,127,29,44.76,36.61547222,127.4957667,30111007,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소(2017년)",3.54749442379182,127.4957667,36.61547222,"large"
"무심천2","무심천2","","3011A60","금강","금강","미호천","","충청북도 청주시 상당구 서문동 (서문대교)",36,37,58.16,127,29,9.22,36.63282222,127.4858944,30111011,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",2.31148611111111,127.4858944,36.63282222,"small"
"무심천3","무심천3","무심A","3011A65","금강","금강","미호천","","충청북도 청주시 흥덕구 문암동 (철교,미호천합류1km전)",36,40,4.23,127,27,47.59,36.66784167,127.4632194,30111013,"지","하천",1,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.21104166666667,127.4632194,36.66784167,"small"
"석남천","석남천","미호B4","3011A68","금강","금강","미호천","","충청북도 청주시 흥덕구 강서동 (신대교)",36,39,23.65,127,23,24.66,36.65656944,127.3901833,30111304,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",3.85856944444444,127.3901833,36.65656944,"small"
"미호천8","미호천8","","3011A70","금강","금강","미호천","","충청북도 청주시 옥산면 신촌리 (옥산교)",36,39,19.05,127,23,8.5,36.65529167,127.3856944,30111305,"지","하천",1,NA,NA,NA,1,NA,NA,NA,NA,"금강유역환경청",1.70772908366534,127.3856944,36.65529167,"large"
"병천천A","병천천A","병천A","3011A78","금강","금강","미호천","","충청북도 청주시 오창읍 성재리 (강정마을입구잠수교)",36,43,17.63,127,19,43.02,36.72156389,127.3286167,30111209,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",1.70812857142857,127.3286167,36.72156389,"small"
"용두천","용두천","미호B3","3011A79","금강","금강","미호천","","충청남도 천안시 동남구 동면 화덕리652 (세월교)",36,45,28.09,127,23,50.07,36.75780278,127.3972417,30111210,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",4.01393055555556,127.3972417,36.75780278,"small"
"병천천","병천천","","3011A80","금강","금강","미호천","","충청북도 청주시 오송읍 쌍청리 (쌍청교)",36,38,14.15,127,21,1.57,36.63726389,127.3504361,30111211,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"충청북도",3.08624285714286,127.3504361,36.63726389,"small"
"미호천5","미호천5","","3011A82","금강","금강","미호천","","충청북도 청주시 오송읍 궁평리 (미호천교)",36,37,17.24,127,21,7.51,36.62145556,127.3520861,30111305,"지","하천",1,NA,NA,NA,NA,NA,NA,NA,NA,"금강유역환경청",2.95752777777778,127.3520861,36.62145556,"small"
"미호천5A","미호천5A","미호B","3011A84","금강","금강","미호천","","세종특별자치시 연동면 예양리 (미호교)",36,34,55.88,127,18,59.57,36.58218889,127.3165472,30111503,"지","하천",NA,1,NA,NA,NA,NA,NA,NA,NA,"금강물환경연구소",2.3865,127.3165472,36.58218889,"small"
